keyword,counterparty,product_type,match_type
n of n,NAB Now Pay Later,bnpl,structure
Zip Plus,Zip Plus,bnpl,keyword
Zip Pay; ZIPPAY,Zip Pay,bnpl,keyword
Zipmoney; Zip Money,Zip Money,bnpl,keyword
Yamaha Motor Finance; Yamaha Motor Fin,Yamaha Motor Finance,personal_loan,keyword
Wisr; Wisr-smarter money habits,Wisr,personal_loan,keyword
WESTPAC Credit Card Cash Advan; WESTPAC Loan Redraw; WESTPAC Loan Repayment; WESTPAC,Westpac,bank,keyword
Wagetap; Wagetap: Instant Cash Advance,Wagetap,wage_advance,keyword
Wagepay; Wagepay: Instant Pay Advance; WAGEPAYCT,Wagepay,wage_advance,keyword
Volkswagen Financial,Volkswagen Financial,personal_loan,keyword
VetPay,VetPay,personal_loan,keyword
Ume Loans,Ume Loans,personal_loan,keyword
Toyota Finance,Toyota Finance,personal_loan,keyword
Thorn Group,Thorn Group,personal_loan,keyword
Taurus Motor Finance,Taurus Motor Finance,personal_loan,keyword
Swoosh Finance; Ausfinancial Pty Ltd; AusFinancial Pty,Swoosh Finance,personal_loan,keyword
Sure Cash,Sure Cash,personal_loan,keyword
Sunshine Loans; Sunshine Sunshine; Sunshine Deposit,Sunshine Loans,personal_loan,keyword
Stay Finance,Stay Finance,personal_loan,keyword
St George Loans,St George Loans,personal_loan,keyword
Square Loans,Square Loans,personal_loan,keyword
Spotter Loan; Spotter Loans,Spotter Loans,personal_loan,keyword
Splend,Splend,personal_loan,keyword
Speedle Loans; Speedle,Speedle Loans,personal_loan,keyword
Society One,Society One,personal_loan,keyword
Snaffle,Snaffle,personal_loan,keyword
Salt and Lime; Salt and Lime Loans,Salt and Lime,personal_loan,keyword
SALT&LIME,Salt and Lime,personal_loan,keyword
Safe Financial,Safe Financial,personal_loan,keyword
Resimac,Resimac,personal_loan,keyword
Red Tree Finance,Red Tree Finance,personal_loan,keyword
Rapid Loans,Rapid Loans,personal_loan,keyword
R4K Group; R4K Services,R4K Group,personal_loan,keyword
Quickzy; Quickzy Finance,Quickzy,personal_loan,keyword
Quickcash,Quickcash,personal_loan,keyword
Press Pay; PressPay,PressPay,wage_advance,keyword
Poligon Group,Poligon Group,personal_loan,keyword
Plenti,Plenti,personal_loan,keyword
Pepper Money,Pepper Money,personal_loan,keyword
PEOPLESCHOICECU Loans; People's Choice,People's Choice,personal_loan,keyword
Payright,Payright,bnpl,keyword
Paypal Pay in 4; PayPal Pay in 4; Pay in 4; Payin4,PayPal Pay in 4,bnpl,keyword
PayLater Travel,PayLater Travel,personal_loan,keyword
